frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788183772.020,0.02326,-0.27521,0.24500,0,3,0.188,single_line,-0.21044;-0.14576;0.22189,0.00000,0.00000,0,
000001.png,1788183772.020,0.02326,-0.27521,0.24500,0,3,0.188,single_line,-0.21044;-0.14576;0.22189,0.00000,0.00000,0,
000002.png,1788183772.120,0.02113,-0.26901,0.24500,0,3,0.250,single_line,-0.21852;-0.14363;0.23066,0.00000,0.00000,0,
000003.png,1788183772.170,0.01767,-0.25245,0.24500,0,3,0.208,single_line,-0.20917;-0.14017;0.22907,0.00000,0.00000,0,
000004.png,1788183772.220,0.02426,-0.27954,0.24500,0,3,0.208,single_line,-0.21135;-0.14676;0.23066,0.00000,0.00000,0,
000005.png,1788183772.270,0.02417,-0.27974,0.24500,0,3,0.208,single_line,-0.20856;-0.14667;0.23605,0.00000,0.00000,0,
000006.png,1788183772.321,0.01842,-0.25109,0.24500,0,3,0.167,single_line,-0.20856;-0.14092;0.23066,0.00000,0.00000,0,
000007.png,1788183772.420,0.02346,-0.28077,0.24500,0,3,0.250,single_line,-0.21002;-0.14596;0.22255,0.00000,0.00000,0,
000008.png,1788183772.470,0.02416,-0.27941,0.24500,0,3,0.208,single_line,-0.20856;-0.14666;0.22580,0.00000,0.00000,0,
000009.png,1788183772.520,0.01668,-0.24658,0.24500,0,4,0.229,single_line,-0.21281;-0.13918;0.21358;0.23840,0.00000,0.00000,0,
000010.png,1788183772.570,0.01839,-0.25516,0.24500,0,3,0.208,single_line,-0.21129;-0.14089;0.22364,0.00000,0.00000,0,
000011.png,1788183772.670,0.02008,-0.26042,0.24500,0,3,0.208,single_line,-0.21427;-0.14258;0.22545,0.00000,0.00000,0,
000012.png,1788183772.720,0.05306,-0.25160,0.17048,1,4,0.292,ok,-0.21002;-0.14107;0.03496;0.22523,-0.17371,0.00000,0,
000013.png,1788183772.770,0.03297,-0.28624,0.23010,0,3,0.188,single_line,-0.20876;-0.14802;0.24240,0.00000,0.00000,0,
000014.png,1788183772.820,0.02463,-0.24910,0.23010,0,3,0.208,single_line,-0.21129;-0.13968;0.24005,0.00000,0.00000,0,
000015.png,1788183772.870,0.03116,-0.27720,0.23010,0,3,0.208,single_line,-0.21342;-0.14621;0.22523,0.00000,0.00000,0,
000016.png,1788183772.970,0.02774,-0.26129,0.23010,0,4,0.208,single_line,-0.78848;-0.21301;-0.14279;0.22739,0.00000,0.00000,0,
000017.png,1788183773.020,0.03211,-0.28188,0.23010,0,3,0.188,single_line,-0.20856;-0.14716;0.22189,0.00000,0.00000,0,
000018.png,1788183773.070,0.03168,-0.27992,0.23010,0,3,0.229,single_line,-0.20730;-0.14672;0.22907,0.00000,0.00000,0,
000019.png,1788183773.120,0.02399,-0.24248,0.23010,0,3,0.188,single_line,-0.21408;-0.13904;0.23066,0.00000,0.00000,0,
000020.png,1788183773.170,0.02464,-0.24535,0.23010,0,3,0.188,single_line,-0.20876;-0.13969;0.23605,0.00000,0.00000,0,
000021.png,1788183773.220,0.05210,-0.27048,0.17804,1,3,0.312,ok,-0.21002;-0.14448;0.04028,0.00000,0.00000,0,
000022.png,1788183773.320,0.03696,-0.28041,0.21969,0,3,0.188,single_line,-0.21554;-0.14680;0.22583,0.00000,0.00000,0,
000023.png,1788183773.370,0.03203,-0.25698,0.21969,0,3,0.208,single_line,-0.21044;-0.14187;0.22742,0.00000,0.00000,0,
000024.png,1788183773.420,0.03661,-0.27851,0.21969,0,3,0.208,single_line,-0.20856;-0.14645;0.24005,0.00000,0.00000,0,
000025.png,1788183773.470,0.03699,-0.28016,0.21969,0,3,0.208,single_line,-0.21002;-0.14683;0.24005,0.00000,0.00000,0,
000026.png,1788183773.520,0.05305,-0.27795,0.17949,1,3,0.312,ok,-0.21281;-0.14638;0.04028,0.00000,0.00000,0,
000027.png,1788183773.620,0.04081,-0.27928,0.21165,0,3,0.188,single_line,-0.21427;-0.14664;0.21861,0.00000,0.00000,0,
000028.png,1788183773.670,0.04181,-0.28444,0.21165,0,3,0.208,single_line,-0.20983;-0.14764;0.22907,0.00000,0.00000,0,
000029.png,1788183773.720,0.03893,-0.27168,0.21165,0,3,0.208,single_line,-0.21281;-0.14476;0.22583,0.00000,0.00000,0,
000030.png,1788183773.770,0.02797,-0.21870,0.21165,0,3,0.188,single_line,-0.21281;-0.13380;0.24005,0.00000,0.00000,1,0.000
000031.png,1788183773.870,0.03812,-0.26562,0.21165,0,3,0.188,single_line,-0.21002;-0.14394;0.22907,0.00000,0.00000,1,0.000
000032.png,1788183773.920,0.03660,-0.26105,0.21165,0,3,0.208,single_line,-0.21135;-0.14242;0.22364,0.00000,0.00000,1,0.000
000033.png,1788183773.970,0.03569,-0.25357,0.21165,0,3,0.167,single_line,-0.20976;-0.14152;0.24005,0.00000,0.00000,1,0.000
000034.png,1788183774.021,0.03569,-0.25357,0.21165,0,3,0.167,single_line,-0.21002;-0.14152;0.22364,0.00000,0.00000,1,0.000
000035.png,1788183774.070,0.04220,-0.28624,0.21165,0,3,0.188,single_line,-0.21427;-0.14802;0.23088,0.00000,0.00000,1,0.000
000036.png,1788183774.170,0.03897,-0.27180,0.21165,0,4,0.229,single_line,-0.21726;-0.14528;-0.14479;0.22742,0.00000,0.00000,1,0.000
000037.png,1788183774.220,0.03569,-0.25357,0.21165,0,3,0.167,single_line,-0.21281;-0.14152;0.21861,0.00000,0.00000,1,0.000
000038.png,1788183774.270,0.03744,-0.26630,0.21165,0,3,0.229,single_line,-0.21281;-0.14326;0.23088,0.00000,0.00000,1,0.000
000039.png,1788183774.320,0.04185,-0.28447,0.21165,0,3,0.188,single_line,-0.21408;-0.14768;0.23605,0.00000,0.00000,1,0.000
000040.png,1788183774.370,0.03411,-0.25073,0.21165,0,3,0.208,single_line,-0.21002;-0.13994;0.22583,0.00000,0.00000,1,0.000
000041.png,1788183774.421,0.03546,-0.25367,0.21165,0,3,0.208,single_line,-0.21301;-0.14128;0.22583,0.00000,0.00000,1,0.000
000042.png,1788183774.520,0.04133,-0.28188,0.21165,0,3,0.188,single_line,-0.21469;-0.14716;0.22523,0.00000,0.00000,1,0.000
000043.png,1788183774.570,-0.02366,-0.60217,0.21165,0,3,0.083,single_line,-0.20405;-0.14638;-0.08217,0.00000,0.00000,1,0.000
000044.png,1788183774.620,0.03782,-0.26440,0.21165,0,4,0.188,single_line,-0.21554;-0.14364;0.23088;0.24462,0.00000,0.00000,1,0.000
000045.png,1788183774.670,0.01418,-0.05999,0.21165,0,3,0.250,single_line,-0.21129;-0.12000;0.24005,0.93698,0.00000,1,0.000
000046.png,1788183774.721,0.03961,-0.27539,0.21165,0,3,0.229,single_line,-0.20898;-0.14543;0.23840,0.00000,0.00000,1,0.000
000047.png,1788183774.721,0.03961,-0.27539,0.21165,0,3,0.229,single_line,-0.20898;-0.14543;0.23840,0.00000,0.00000,1,0.000
000048.png,1788183774.870,0.03557,-0.25654,0.21165,0,3,0.208,single_line,-0.21198;-0.14140;0.22907,0.00000,0.00000,1,0.000
000049.png,1788183774.920,-0.02073,-0.25357,0.31234,1,4,0.312,ok,-0.21281;-0.14060;0.18206;0.23605,0.00000,0.00000,1,0.000
000050.png,1788183774.970,0.02758,-0.26365,0.23179,0,3,0.208,single_line,-0.20424;-0.14348;0.22364,0.00000,0.00000,1,0.000
000051.png,1788183775.020,0.03205,-0.28580,0.23179,0,3,0.208,single_line,-0.21301;-0.14795;0.22911,0.00000,0.00000,1,0.000
000052.png,1788183775.120,0.02562,-0.25357,0.23179,0,3,0.167,single_line,-0.21002;-0.14152;0.22168,0.00000,0.00000,1,0.000
000053.png,1788183775.170,0.05348,-0.27669,0.17823,1,3,0.271,ok,-0.21811;-0.14612;0.03916,0.00000,0.00000,1,0.000
000054.png,1788183775.220,0.03298,-0.26365,0.22107,0,3,0.188,single_line,-0.21002;-0.14351;0.23840,0.00000,0.00000,1,0.000
000055.png,1788183775.270,0.03714,-0.28447,0.22107,0,3,0.188,single_line,-0.20856;-0.14768;0.22907,0.00000,0.00000,1,0.000
000056.png,1788183775.320,0.02914,-0.24910,0.22107,0,3,0.208,single_line,-0.21427;-0.13968;0.24005,0.00000,0.00000,1,0.000
000057.png,1788183775.420,0.02760,-0.23905,0.22107,0,3,0.167,single_line,-0.20983;-0.13813;0.24005,0.00000,0.00000,1,0.000
000058.png,1788183775.470,0.03098,-0.25357,0.22107,0,3,0.167,single_line,-0.21427;-0.14152;0.22580,0.00000,0.00000,1,0.000
000059.png,1788183775.520,0.03835,-0.29075,0.22107,0,3,0.188,single_line,-0.21554;-0.14889;0.23840,0.00000,0.00000,1,0.000
000060.png,1788183775.570,0.03558,-0.27669,0.22107,0,3,0.188,single_line,-0.21281;-0.14612;0.22711,0.00000,0.00000,1,0.000
000061.png,1788183775.620,-0.05203,-0.30059,0.32785,1,3,0.396,ok,-0.20730;-0.11959;0.22364,1.30628,0.00000,1,0.000
000062.png,1788183775.720,0.02209,-0.26486,0.24243,0,3,0.188,single_line,-0.21002;-0.14330;0.23605,0.00000,0.00000,1,0.000
000063.png,1788183775.770,0.05160,-0.27521,0.18123,1,3,0.292,ok,-0.21381;-0.14576;0.04256,0.00000,0.00000,1,0.000
