frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788182897.020,0.00494,-0.07589,0.23699,1,3,0.438,ok,-0.12378;0.11389;0.68155,-0.16551,0.00000,0,
000001.png,1788182897.070,-0.02372,-0.07589,0.29425,1,3,0.396,ok,-0.12383;0.17127;0.64416,-0.00526,0.00000,0,
000002.png,1788182897.120,-0.02206,-0.06949,0.29982,1,3,0.417,ok,-0.12822;0.17233;0.68055,-0.03596,0.00000,0,
000003.png,1788182897.169,0.00218,-0.05682,0.24128,1,3,0.458,ok,-0.12302;0.11865;0.65408,-0.15149,0.00000,0,
000004.png,1788182897.270,-0.02320,-0.05248,0.29614,1,3,0.396,ok,-0.12508;0.17148;0.67625,-0.01092,0.00000,0,
000005.png,1788182897.320,0.00083,-0.07589,0.24286,1,2,0.458,ok,-0.12261;0.12095,-0.14469,0.00000,0,
000006.png,1788182897.370,0.00144,-0.06949,0.24156,1,3,0.438,ok,-0.12251;0.11963;0.64416,-0.14685,0.00000,0,
000007.png,1788182897.420,0.00491,-0.06949,0.24401,1,2,0.396,ok,-0.12720;0.11739,-0.18244,0.00000,0,
000008.png,1788182897.469,0.00282,-0.07589,0.23973,1,3,0.458,ok,-0.12303;0.11739;0.70372,-0.15627,0.00000,0,
000009.png,1788182897.570,0.00301,-0.07589,0.24045,1,3,0.458,ok,-0.12359;0.11756;0.67758,-0.15792,0.00000,0,
000010.png,1788182897.620,0.00444,-0.07589,0.24079,1,3,0.417,ok,-0.12518;0.11630;0.65243,-0.16562,0.00000,0,
000011.png,1788182897.670,-0.02428,-0.07161,0.29322,1,3,0.438,ok,-0.12271;0.17127;0.64577,0.00011,0.00000,0,
000012.png,1788182897.720,0.03533,-0.07459,0.17603,1,3,0.396,ok,-0.12359;0.05293;0.64743,-0.38587,0.00000,0,
000013.png,1788182897.820,-0.02354,-0.06587,0.29418,1,2,0.417,ok,-0.12388;0.17095,-0.00491,0.00000,0,
000014.png,1788182897.870,-0.02253,-0.07673,0.29297,1,2,0.438,ok,-0.12439;0.16944,-0.01222,0.00000,0,
000015.png,1788182897.920,-0.02355,-0.07459,0.29397,1,3,0.375,ok,-0.12384;0.17095;0.66563,-0.00314,0.00000,0,
000016.png,1788182897.970,0.00183,-0.07459,0.24271,1,2,0.438,ok,-0.12352;0.11987,-0.14951,0.00000,0,
000017.png,1788182898.020,-0.00649,-0.04857,0.26178,0,3,0.271,single_line,-0.12440;0.22500;0.67666,-0.03535,0.00000,0,
000018.png,1788182898.070,0.00187,-0.07161,0.24054,1,3,0.438,ok,-0.12244;0.11871;0.67445,-0.14877,0.00000,0,
000019.png,1788182898.170,0.00344,-0.07375,0.24278,1,3,0.417,ok,-0.12517;0.11828;0.67489,-0.16107,0.00000,0,
000020.png,1788182898.220,-0.02372,-0.07375,0.29429,1,2,0.396,ok,-0.12382;0.17127,-0.00515,0.00000,0,
000021.png,1788182898.270,0.00187,-0.07589,0.24046,1,2,0.458,ok,-0.12245;0.11871,-0.14995,0.00000,0,
000022.png,1788182898.320,0.00215,-0.07589,0.24069,1,3,0.438,ok,-0.12284;0.11854;0.66302,-0.15066,0.00000,0,
000023.png,1788182898.420,0.00585,-0.07589,0.24841,1,2,0.417,ok,-0.13042;0.11871,-0.20125,0.00000,0,
000024.png,1788182898.470,0.00188,-0.07589,0.24049,1,3,0.458,ok,-0.12247;0.11871;0.64085,-0.15041,0.00000,0,
000025.png,1788182898.520,0.00331,-0.04814,0.24133,1,2,0.438,ok,-0.12411;0.11750,-0.16180,0.00000,0,
000026.png,1788182898.570,0.00632,-0.07589,0.23377,1,3,0.438,ok,-0.12354;0.11090;0.64140,-0.17942,0.00000,0,
000027.png,1788182898.620,0.03108,-0.07589,0.18515,1,3,0.417,ok,-0.12393;0.06176;0.64581,-0.35819,0.00000,0,
000028.png,1788182898.670,0.00326,-0.07589,0.24785,1,2,0.438,ok,-0.12754;0.12102,-0.17344,0.00000,0,
000029.png,1788182898.720,-0.02476,-0.06949,0.29453,1,3,0.417,ok,-0.12286;0.17239;0.65077,-0.00098,0.00000,0,
000030.png,1788182898.820,0.00115,-0.06949,0.24558,1,2,0.417,ok,-0.12424;0.12194,-0.14945,0.00000,0,
000031.png,1788182898.870,0.00501,-0.06949,0.24072,1,3,0.438,ok,-0.12567;0.11564;0.63787,-0.17885,0.00000,0,
000032.png,1788182898.920,0.00362,-0.06949,0.23913,1,2,0.438,ok,-0.12347;0.11624,-0.16289,0.00000,0,
000033.png,1788182898.971,-0.02307,-0.06949,0.29171,1,3,0.417,ok,-0.12314;0.16927;0.64416,-0.00908,0.00000,0,
000034.png,1788182899.020,0.00245,-0.06949,0.25080,1,3,0.396,ok,-0.12815;0.12326;0.64746,-0.17114,0.00000,0,
000035.png,1788182899.120,0.00239,-0.06949,0.24128,1,3,0.458,ok,-0.12332;0.11854;0.64912,-0.15493,0.00000,0,
